Net generation for all sectors,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,1,0&fuel=008&geo=g0fvvvtvvvvv&sec=g&freq=A&start=2001&end=2024&ctype=columnchart&ltype=pin&rtype=s&rse=0&maptype=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Nov 10 2025 05:11:13 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Net generation for all sectors,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,
All fuels (utility-scale),,ELEC.GEN.ALL-US-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Other renewables,,ELEC.GEN.AOR-US-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Wind : Texas,thousand megawatthours,ELEC.GEN.WND-TX-99.A,1188,2656,2570,3138,4237,6671,9006,16225,20026,26251,30548,32214,35874,40005,44833,57531,67061,75700,83620,92441,99474,114787,119855,124278
Wind : Mountain,,ELEC.GEN.WND-MTN-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Wind : Arizona,thousand megawatthours,ELEC.GEN.WND-AZ-99.A,--,--,--,--,--,--,--,--,30,135,256,532,450,468,452,542,570,530,554,644,1600,1564,1733,2540
Wind : Colorado,thousand megawatthours,ELEC.GEN.WND-CO-99.A,49,139,147,220,776,866,1292,3221,3164,3452,5200,5969,7204,7369,7475,9421,9315,9745,10852,13386,15126,16911,16091,17602
Wind : Idaho,thousand megawatthours,ELEC.GEN.WND-ID-99.A,--,--,--,--,--,170,172,207,313,441,1307,1891,2460,2806,2270,2578,2545,2655,2551,2771,2680,2442,2320,3016
Wind : Montana,thousand megawatthours,ELEC.GEN.WND-MT-99.A,--,--,--,--,--,436,496,593,821,930,1265,1262,1755,1974,1965,2140,2155,2153,2373,3059,3473,4022,4557,5815
Wind : Nevada,thousand megawatthours,ELEC.GEN.WND-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,129,251,300,310,344,361,312,329,325,340,316,291,319
Wind : New Mexico,thousand megawatthours,ELEC.GEN.WND-NM-99.A,--,--,183,513,795,1255,1393,1643,1547,1832,2104,2226,2193,2275,2090,3605,4595,6092,6892,7224,10581,14435,14914,15136
Wind : Utah,thousand megawatthours,ELEC.GEN.WND-UT-99.A,--,--,--,--,--,--,--,24,160,448,573,704,540,660,626,822,858,795,819,803,825,723,683,748
Wind : Wyoming,thousand megawatthours,ELEC.GEN.WND-WY-99.A,365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4057,4163,5513,8448,9780,8637,9002
Wind : Pacific Contiguous,,ELEC.GEN.WND-PCC-99.A,,,,,,,,,,,,,,,,,,,,,,,,
Wind : California,thousand megawatthours,ELEC.GEN.WND-CA-99.A,3500,3803,3895,4306,4262,4883,5585,5385,5840,6079,7752,9754,12822,12992,12230,13509,12823,14024,13735,13583,15177,14638,14019,15648
Wind : Oregon,thousand megawatthours,ELEC.GEN.WND-OR-99.A,89,376,444,619,734,931,1247,2575,3470,3920,4775,6343,7456,7555,6632,7157,6227,7447,6569,8777,9376,8149,8954,9519
Wind : Washington,thousand megawatthours,ELEC.GEN.WND-WA-99.A,--,417,604,737,498,1038,2438,3657,3572,4745,6262,6600,7004,7268,7075,8042,6925,7900,6677,9266,9298,8061,7550,8863
