"","start.min","start.sec","common_name","confidence","ARU.ID","Date"
"94",20,36,"Mountain Chickadee",0.330044984817505,"SMM01",2023-06-02
"95",23,3,"Ruby-crowned Kinglet",0.358629673719406,"SMM01",2023-06-02
"96",23,6,"Mountain Chickadee",0.307891190052032,"SMM01",2023-06-02
"97",24,45,"Hammond's Flycatcher",0.36633825302124,"SMM01",2023-06-02
"98",24,51,"Hammond's Flycatcher",0.487599104642868,"SMM01",2023-06-02
"99",25,0,"Mountain Chickadee",0.638138949871063,"SMM01",2023-06-02
"100",26,0,"Hammond's Flycatcher",0.32246920466423,"SMM01",2023-06-02
"101",26,6,"Hammond's Flycatcher",0.562606334686279,"SMM01",2023-06-02
"102",26,18,"Hammond's Flycatcher",0.852728307247162,"SMM01",2023-06-02
"103",26,21,"Hammond's Flycatcher",0.774892330169678,"SMM01",2023-06-02
"104",26,36,"Hammond's Flycatcher",0.566384613513947,"SMM01",2023-06-02
"105",26,39,"Hammond's Flycatcher",0.312990307807922,"SMM01",2023-06-02
"106",26,45,"Ruby-crowned Kinglet",0.723069727420807,"SMM01",2023-06-02
"107",27,3,"Hammond's Flycatcher",0.661509096622467,"SMM01",2023-06-02
"108",27,24,"Red-breasted Nuthatch",0.434372186660767,"SMM01",2023-06-02
"109",28,3,"Hammond's Flycatcher",0.432715445756912,"SMM01",2023-06-02
"110",28,21,"Hammond's Flycatcher",0.577248215675354,"SMM01",2023-06-02
"111",29,18,"Mountain Chickadee",0.390604346990585,"SMM01",2023-06-02
"112",29,42,"Western Tanager",0.93452787399292,"SMM01",2023-06-02
"113",30,0,"Western Tanager",0.338672786951065,"SMM01",2023-06-02
"114",30,6,"Hammond's Flycatcher",0.738092243671417,"SMM01",2023-06-02
"115",30,15,"Western Tanager",0.881595134735107,"SMM01",2023-06-02
"116",30,21,"Western Tanager",0.489553570747375,"SMM01",2023-06-02
"117",30,27,"Western Tanager",0.390869736671448,"SMM01",2023-06-02
"118",31,33,"Hammond's Flycatcher",0.650509536266327,"SMM01",2023-06-02
"119",32,3,"Ruby-crowned Kinglet",0.372385412454605,"SMM01",2023-06-02
"120",32,6,"Hammond's Flycatcher",0.500216543674469,"SMM01",2023-06-02
"121",32,9,"Hammond's Flycatcher",0.423788636922836,"SMM01",2023-06-02
"122",32,15,"Hammond's Flycatcher",0.878148436546326,"SMM01",2023-06-02
"123",32,18,"Hammond's Flycatcher",0.498440146446228,"SMM01",2023-06-02
"124",32,21,"Hammond's Flycatcher",0.334368675947189,"SMM01",2023-06-02
"125",32,24,"Hammond's Flycatcher",0.647691249847412,"SMM01",2023-06-02
"126",32,33,"Hammond's Flycatcher",0.717185974121094,"SMM01",2023-06-02
"127",32,39,"Hammond's Flycatcher",0.440595090389252,"SMM01",2023-06-02
"128",32,45,"Hammond's Flycatcher",0.753223776817322,"SMM01",2023-06-02
"129",32,51,"Hammond's Flycatcher",0.714864432811737,"SMM01",2023-06-02
"130",33,3,"Hammond's Flycatcher",0.959864020347595,"SMM01",2023-06-02
"131",33,51,"Mountain Chickadee",0.324078977108002,"SMM01",2023-06-02
"132",34,48,"Hammond's Flycatcher",0.720853984355927,"SMM01",2023-06-02
"133",37,0,"Hammond's Flycatcher",0.572537362575531,"SMM01",2023-06-02
"134",37,9,"Hammond's Flycatcher",0.473269909620285,"SMM01",2023-06-02
"135",37,12,"Hammond's Flycatcher",0.64055460691452,"SMM01",2023-06-02
"136",37,18,"Hammond's Flycatcher",0.540132880210876,"SMM01",2023-06-02
"137",39,9,"Western Tanager",0.531380534172058,"SMM01",2023-06-02
"138",40,15,"Northern Flicker",0.365111827850342,"SMM01",2023-06-02
"139",40,18,"Northern Flicker",0.452254593372345,"SMM01",2023-06-02
"140",40,21,"Northern Flicker",0.682991325855255,"SMM01",2023-06-02
"141",40,24,"Northern Flicker",0.484209388494492,"SMM01",2023-06-02
"142",40,27,"Northern Flicker",0.446088939905167,"SMM01",2023-06-02
"143",40,30,"Northern Flicker",0.510618388652802,"SMM01",2023-06-02
"144",40,33,"Northern Flicker",0.557876706123352,"SMM01",2023-06-02
"145",40,36,"Northern Flicker",0.669662952423096,"SMM01",2023-06-02
"146",40,39,"Northern Flicker",0.519080638885498,"SMM01",2023-06-02
"147",40,42,"Northern Flicker",0.349511712789536,"SMM01",2023-06-02
"148",40,51,"Northern Flicker",0.316504508256912,"SMM01",2023-06-02
"149",43,9,"Western Tanager",0.324975192546844,"SMM01",2023-06-02
"150",43,48,"Western Tanager",0.387869089841843,"SMM01",2023-06-02
"151",44,9,"Western Tanager",0.308489412069321,"SMM01",2023-06-02
"152",44,21,"Western Tanager",0.329838991165161,"SMM01",2023-06-02
"153",44,54,"Western Tanager",0.380421668291092,"SMM01",2023-06-02
"154",47,9,"Western Tanager",0.519266068935394,"SMM01",2023-06-02
"155",47,15,"Western Tanager",0.455273926258087,"SMM01",2023-06-02
"156",47,21,"Western Tanager",0.748448848724365,"SMM01",2023-06-02
"157",47,24,"Western Tanager",0.572119534015656,"SMM01",2023-06-02
"158",47,27,"Western Tanager",0.719464957714081,"SMM01",2023-06-02
"159",47,30,"Western Tanager",0.839412271976471,"SMM01",2023-06-02
"160",47,39,"Western Tanager",0.587044715881348,"SMM01",2023-06-02
"161",48,15,"Western Tanager",0.608824968338013,"SMM01",2023-06-02
"162",48,21,"Western Tanager",0.810987174510956,"SMM01",2023-06-02
"163",55,18,"Western Tanager",0.471634596586227,"SMM01",2023-06-02
"164",55,27,"Western Tanager",0.482249587774277,"SMM01",2023-06-02
"165",56,36,"Western Tanager",0.328191995620728,"SMM01",2023-06-02
"166",58,3,"Western Tanager",0.581971347332001,"SMM01",2023-06-02
"167",6,30,"Western Tanager",0.343823462724686,"SMM01",2023-06-03
"168",7,0,"Mountain Chickadee",0.493290841579437,"SMM01",2023-06-03
"169",7,24,"Mountain Chickadee",0.311935573816299,"SMM01",2023-06-03
"170",9,51,"American Robin",0.426851809024811,"SMM01",2023-06-03
"171",10,12,"American Robin",0.503861844539642,"SMM01",2023-06-03
"172",10,24,"American Robin",0.318635076284409,"SMM01",2023-06-03
"173",10,39,"Red-breasted Nuthatch",0.583986878395081,"SMM01",2023-06-03
"174",10,45,"Red-breasted Nuthatch",0.604920506477356,"SMM01",2023-06-03
"175",11,0,"Red-breasted Nuthatch",0.361327677965164,"SMM01",2023-06-03
"176",11,6,"Red-breasted Nuthatch",0.578412890434265,"SMM01",2023-06-03
"177",11,12,"Red-breasted Nuthatch",0.571397125720978,"SMM01",2023-06-03
"178",11,33,"Red-breasted Nuthatch",0.349311828613281,"SMM01",2023-06-03
"179",12,3,"Red-breasted Nuthatch",0.361048221588135,"SMM01",2023-06-03
"180",12,24,"Red-breasted Nuthatch",0.341637700796127,"SMM01",2023-06-03
"181",12,42,"Red-breasted Nuthatch",0.387347519397736,"SMM01",2023-06-03
"182",12,54,"Red-breasted Nuthatch",0.464128583669662,"SMM01",2023-06-03
"183",13,45,"Red-breasted Nuthatch",0.780702114105225,"SMM01",2023-06-03
"184",13,51,"Red-breasted Nuthatch",0.39029723405838,"SMM01",2023-06-03
"185",14,15,"Red-breasted Nuthatch",0.465978801250458,"SMM01",2023-06-03
"186",14,21,"Red-breasted Nuthatch",0.461710065603256,"SMM01",2023-06-03
"187",14,36,"Red-breasted Nuthatch",0.410488396883011,"SMM01",2023-06-03
"188",14,45,"Red-breasted Nuthatch",0.445029884576797,"SMM01",2023-06-03
"189",14,51,"Red-breasted Nuthatch",0.637143731117249,"SMM01",2023-06-03
"190",15,6,"Red-breasted Nuthatch",0.780956923961639,"SMM01",2023-06-03
"191",15,15,"Red-breasted Nuthatch",0.437075406312943,"SMM01",2023-06-03
"192",15,21,"Red-breasted Nuthatch",0.413946509361267,"SMM01",2023-06-03
"193",15,33,"Red-breasted Nuthatch",0.838422954082489,"SMM01",2023-06-03
"194",15,36,"Red-breasted Nuthatch",0.449891477823257,"SMM01",2023-06-03
"195",15,45,"Red-breasted Nuthatch",0.383164495229721,"SMM01",2023-06-03
"196",16,0,"Red-breasted Nuthatch",0.474413007497787,"SMM01",2023-06-03
"197",16,18,"Red-breasted Nuthatch",0.317524492740631,"SMM01",2023-06-03
"198",16,24,"Red-breasted Nuthatch",0.410198718309402,"SMM01",2023-06-03
"199",17,12,"Ruby-crowned Kinglet",0.37656307220459,"SMM01",2023-06-03
"200",20,30,"Hammond's Flycatcher",0.785477101802826,"SMM01",2023-06-03
"201",20,39,"Hammond's Flycatcher",0.395941257476807,"SMM01",2023-06-03
"202",21,27,"Hammond's Flycatcher",0.338775545358658,"SMM01",2023-06-03
"203",21,45,"Hammond's Flycatcher",0.871386766433716,"SMM01",2023-06-03
"204",21,51,"Hammond's Flycatcher",0.475630193948746,"SMM01",2023-06-03
"205",21,54,"Hammond's Flycatcher",0.758784711360931,"SMM01",2023-06-03
"206",22,33,"Hammond's Flycatcher",0.363946855068207,"SMM01",2023-06-03
"207",24,9,"Hammond's Flycatcher",0.668552815914154,"SMM01",2023-06-03
"208",25,0,"Red-breasted Nuthatch",0.384765595197678,"SMM01",2023-06-03
"209",26,24,"Ruby-crowned Kinglet",0.358110725879669,"SMM01",2023-06-03
"210",29,21,"Western Tanager",0.435516744852066,"SMM01",2023-06-03
"211",29,36,"Western Tanager",0.47369259595871,"SMM01",2023-06-03
"212",29,54,"Northern Flicker",0.755446791648865,"SMM01",2023-06-03
"213",29,57,"Northern Flicker",0.775389671325684,"SMM01",2023-06-03
"214",30,6,"Northern Flicker",0.441570192575455,"SMM01",2023-06-03
"215",30,15,"Northern Flicker",0.443841129541397,"SMM01",2023-06-03
"216",30,18,"Northern Flicker",0.53167188167572,"SMM01",2023-06-03
"217",30,30,"Northern Flicker",0.315069615840912,"SMM01",2023-06-03
"218",33,36,"Western Tanager",0.353613942861557,"SMM01",2023-06-03
"219",34,21,"Red-breasted Nuthatch",0.779321908950806,"SMM01",2023-06-03
"220",34,24,"Red-breasted Nuthatch",0.456667959690094,"SMM01",2023-06-03
"221",36,27,"Red-breasted Nuthatch",0.41548815369606,"SMM01",2023-06-03
"222",36,30,"Red-breasted Nuthatch",0.778824806213379,"SMM01",2023-06-03
"223",36,54,"Mountain Chickadee",0.431883782148361,"SMM01",2023-06-03
"224",37,0,"Mountain Chickadee",0.591280460357666,"SMM01",2023-06-03
"225",37,21,"Warbling Vireo",0.70469468832016,"SMM01",2023-06-03
"226",37,24,"Red-breasted Nuthatch",0.30976790189743,"SMM01",2023-06-03
"227",38,39,"Western Tanager",0.681608736515045,"SMM01",2023-06-03
"228",38,54,"Ruby-crowned Kinglet",0.302741646766663,"SMM01",2023-06-03
"229",39,6,"Western Tanager",0.718830227851868,"SMM01",2023-06-03
"230",40,42,"Western Tanager",0.413237780332565,"SMM01",2023-06-03
"231",40,51,"Western Tanager",0.897260427474976,"SMM01",2023-06-03
"232",41,42,"Western Tanager",0.823639512062073,"SMM01",2023-06-03
"233",41,45,"Western Tanager",0.883065283298492,"SMM01",2023-06-03
"234",41,48,"Western Tanager",0.855164706707001,"SMM01",2023-06-03
"235",41,51,"Western Tanager",0.321709722280502,"SMM01",2023-06-03
"236",41,54,"Western Tanager",0.859394550323486,"SMM01",2023-06-03
"237",41,57,"Western Tanager",0.505927085876465,"SMM01",2023-06-03
"238",42,0,"Western Tanager",0.877248883247375,"SMM01",2023-06-03
"239",42,12,"Western Tanager",0.610077500343323,"SMM01",2023-06-03
"240",42,18,"Western Tanager",0.376126855611801,"SMM01",2023-06-03
"241",42,24,"Western Tanager",0.565123915672302,"SMM01",2023-06-03
"242",42,27,"Warbling Vireo",0.344065129756927,"SMM01",2023-06-03
"243",43,30,"Warbling Vireo",0.320049285888672,"SMM01",2023-06-03
"244",43,36,"Western Tanager",0.570106446743011,"SMM01",2023-06-03
"245",43,42,"Western Tanager",0.724741220474243,"SMM01",2023-06-03
"246",43,48,"Western Tanager",0.377335041761398,"SMM01",2023-06-03
"247",43,51,"Western Tanager",0.412664711475372,"SMM01",2023-06-03
"248",43,54,"Western Tanager",0.798510491847992,"SMM01",2023-06-03
"249",43,57,"Western Tanager",0.914070844650269,"SMM01",2023-06-03
"250",44,6,"Western Tanager",0.889620423316956,"SMM01",2023-06-03
"251",44,21,"Northern Flicker",0.371654242277145,"SMM01",2023-06-03
"252",44,24,"Northern Flicker",0.64629739522934,"SMM01",2023-06-03
"253",44,27,"Western Tanager",0.59916752576828,"SMM01",2023-06-03
"254",44,39,"Western Tanager",0.740514874458313,"SMM01",2023-06-03
"255",46,0,"Northern Flicker",0.486844092607498,"SMM01",2023-06-03
"256",46,3,"Northern Flicker",0.524495124816895,"SMM01",2023-06-03
"257",46,21,"Northern Flicker",0.660535573959351,"SMM01",2023-06-03
"258",46,57,"Western Tanager",0.403510451316833,"SMM01",2023-06-03
"259",47,6,"Hammond's Flycatcher",0.640035808086395,"SMM01",2023-06-03
"260",47,45,"Western Tanager",0.873722314834595,"SMM01",2023-06-03
"261",47,48,"Western Tanager",0.928588211536407,"SMM01",2023-06-03
"262",47,51,"Western Tanager",0.537222862243652,"SMM01",2023-06-03
"263",47,54,"Western Tanager",0.419096142053604,"SMM01",2023-06-03
"264",47,57,"Western Tanager",0.456993818283081,"SMM01",2023-06-03
"265",48,0,"Western Tanager",0.612427294254303,"SMM01",2023-06-03
"266",48,9,"Western Tanager",0.949877202510834,"SMM01",2023-06-03
"267",48,12,"Western Tanager",0.906479775905609,"SMM01",2023-06-03
"268",48,15,"Western Tanager",0.94540810585022,"SMM01",2023-06-03
"269",48,18,"Western Tanager",0.885123431682587,"SMM01",2023-06-03
"270",48,21,"Western Tanager",0.926839470863342,"SMM01",2023-06-03
"271",48,24,"Western Tanager",0.904490828514099,"SMM01",2023-06-03
"272",48,30,"Western Tanager",0.937644779682159,"SMM01",2023-06-03
"273",48,33,"Western Tanager",0.88175767660141,"SMM01",2023-06-03
"274",48,36,"Western Tanager",0.760145604610443,"SMM01",2023-06-03
