"","rowid","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"99",99,"Warbling Vireo",0.42425149679184,"SMM05",20230621,22,24,1344,NA
"100",100,"Warbling Vireo",0.347894251346588,"SMM05",20230621,22,48,1368,NA
"101",101,"Warbling Vireo",0.400920301675797,"SMM05",20230621,26,9,1569,NA
"102",102,"Warbling Vireo",0.686456322669983,"SMM05",20230621,26,18,1578,NA
"103",103,"Warbling Vireo",0.812955021858215,"SMM05",20230621,26,48,1608,NA
"104",104,"Warbling Vireo",0.850165188312531,"SMM05",20230621,27,39,1659,NA
"105",105,"Warbling Vireo",0.657920837402344,"SMM05",20230621,27,45,1665,NA
"106",106,"Warbling Vireo",0.458878129720688,"SMM05",20230621,28,30,1710,NA
"107",107,"Warbling Vireo",0.399654537439346,"SMM05",20230621,29,33,1773,NA
"108",108,"Warbling Vireo",0.386761754751205,"SMM05",20230621,31,27,1887,NA
"109",109,"Warbling Vireo",0.378158837556839,"SMM05",20230621,32,36,1956,NA
"110",110,"Warbling Vireo",0.404472529888153,"SMM05",20230621,33,18,1998,NA
"111",111,"Warbling Vireo",0.55267995595932,"SMM05",20230621,39,15,2355,NA
"112",112,"Warbling Vireo",0.773252367973328,"SMM05",20230621,39,42,2382,NA
"113",113,"Warbling Vireo",0.33309280872345,"SMM05",20230621,44,21,2661,NA
"114",114,"Warbling Vireo",0.556058824062347,"SMM05",20230621,44,39,2679,NA
"115",115,"Warbling Vireo",0.712311983108521,"SMM05",20230621,46,0,2760,NA
"116",116,"Warbling Vireo",0.317856639623642,"SMM05",20230621,47,39,2859,NA
"117",117,"Warbling Vireo",0.545305013656616,"SMM05",20230621,48,33,2913,NA
"118",118,"Warbling Vireo",0.322532057762146,"SMM05",20230621,48,45,2925,NA
"119",119,"Warbling Vireo",0.760104656219482,"SMM05",20230621,49,48,2988,NA
"120",120,"Warbling Vireo",0.379357427358627,"SMM05",20230621,54,21,3261,NA
"121",121,"Warbling Vireo",0.364698499441147,"SMM05",20230621,54,39,3279,NA
"122",122,"Warbling Vireo",0.384732037782669,"SMM05",20230622,1,51,111,NA
"123",123,"Warbling Vireo",0.364380329847336,"SMM05",20230622,14,3,843,NA
"124",124,"Warbling Vireo",0.617478370666504,"SMM05",20230622,17,48,1068,NA
"125",125,"Warbling Vireo",0.862536728382111,"SMM05",20230622,19,27,1167,NA
"126",126,"Warbling Vireo",0.58746337890625,"SMM05",20230622,19,39,1179,NA
"127",127,"Warbling Vireo",0.302631705999374,"SMM05",20230622,24,24,1464,NA
"128",128,"Warbling Vireo",0.766569793224335,"SMM05",20230622,27,27,1647,NA
"129",129,"Warbling Vireo",0.538232862949371,"SMM05",20230622,34,33,2073,NA
"130",130,"Warbling Vireo",0.513186633586884,"SMM05",20230622,39,57,2397,NA
"131",131,"Warbling Vireo",0.552785277366638,"SMM05",20230622,41,15,2475,NA
"132",132,"Warbling Vireo",0.332150459289551,"SMM05",20230623,5,24,324,NA
"133",133,"Warbling Vireo",0.523792922496796,"SMM05",20230623,22,18,1338,NA
"134",134,"Warbling Vireo",0.563778221607208,"SMM05",20230623,33,57,2037,NA
"135",135,"Warbling Vireo",0.321707308292389,"SMM05",20230623,36,9,2169,NA
"136",136,"Warbling Vireo",0.541027247905731,"SMM05",20230623,49,0,2940,NA
"137",137,"Warbling Vireo",0.302280008792877,"SMM05",20230624,3,27,207,NA
"138",138,"Warbling Vireo",0.346992045640945,"SMM05",20230624,9,27,567,NA
"139",139,"Warbling Vireo",0.558150410652161,"SMM05",20230624,11,48,708,NA
"140",140,"Warbling Vireo",0.489502042531967,"SMM05",20230624,18,48,1128,NA
"141",141,"Warbling Vireo",0.74105179309845,"SMM05",20230624,19,57,1197,NA
"142",142,"Warbling Vireo",0.747006833553314,"SMM05",20230624,20,21,1221,NA
"143",143,"Warbling Vireo",0.731942653656006,"SMM05",20230624,21,6,1266,NA
"144",144,"Warbling Vireo",0.427350997924805,"SMM05",20230624,24,0,1440,NA
"145",145,"Warbling Vireo",0.55779641866684,"SMM05",20230624,26,48,1608,NA
"146",146,"Warbling Vireo",0.948261559009552,"SMM05",20230624,27,42,1662,NA
"147",147,"Warbling Vireo",0.385104566812515,"SMM05",20230624,28,18,1698,NA
"148",148,"Warbling Vireo",0.708560228347778,"SMM05",20230624,29,48,1788,NA
"149",149,"Warbling Vireo",0.339392900466919,"SMM05",20230624,40,39,2439,NA
"150",150,"Warbling Vireo",0.574688017368317,"SMM05",20230624,46,12,2772,NA
"151",151,"Warbling Vireo",0.915723919868469,"SMM05",20230624,49,15,2955,NA
"152",152,"Warbling Vireo",0.883006513118744,"SMM05",20230624,54,27,3267,NA
"153",153,"Warbling Vireo",0.835995256900787,"SMM05",20230624,56,18,3378,NA
"154",154,"Warbling Vireo",0.821973979473114,"SMM05",20230624,57,18,3438,NA
"155",155,"Warbling Vireo",0.785524845123291,"SMM05",20230625,9,9,549,NA
"156",156,"Warbling Vireo",0.507621765136719,"SMM05",20230625,10,18,618,NA
"157",157,"Warbling Vireo",0.432568997144699,"SMM05",20230625,10,24,624,NA
"158",158,"Warbling Vireo",0.441059142351151,"SMM05",20230625,12,9,729,NA
"159",159,"Warbling Vireo",0.495808750391006,"SMM05",20230625,23,15,1395,NA
"160",160,"Warbling Vireo",0.606066584587097,"SMM05",20230625,23,30,1410,NA
"161",161,"Warbling Vireo",0.389208287000656,"SMM05",20230625,27,0,1620,NA
"162",162,"Warbling Vireo",0.362618833780289,"SMM05",20230625,28,42,1722,NA
"163",163,"Warbling Vireo",0.526605188846588,"SMM05",20230625,35,30,2130,NA
"164",164,"Warbling Vireo",0.556866109371185,"SMM05",20230625,37,45,2265,NA
"165",165,"Warbling Vireo",0.572117865085602,"SMM05",20230625,55,42,3342,NA
"166",166,"Warbling Vireo",0.406039357185364,"SMM05",20230626,2,15,135,NA
"167",167,"Warbling Vireo",0.374618887901306,"SMM05",20230626,7,12,432,NA
