"","Species","confidence","ARU.ID","Date","start.min","start.sec","True.Positive"
"116","Black-headed Grosbeak",0.41666167974472,"SMM05","2023-06-22",54,48,NA
"117","Black-headed Grosbeak",0.971999764442444,"SMM05","2023-06-22",55,30,NA
"118","Black-headed Grosbeak",0.983140408992767,"SMM05","2023-06-22",55,48,NA
"119","Black-headed Grosbeak",0.971445083618164,"SMM05","2023-06-24",3,42,NA
"120","Black-headed Grosbeak",0.931690096855164,"SMM05","2023-06-25",3,45,NA
"121","Black-headed Grosbeak",0.410188287496567,"SMM07","2023-06-01",24,27,NA
"122","Black-headed Grosbeak",0.398340851068497,"SMM07","2023-06-01",25,6,NA
"123","Black-headed Grosbeak",0.309615612030029,"SMM07","2023-06-04",24,12,NA
"124","Black-headed Grosbeak",0.726756513118744,"SMM07","2023-06-04",45,51,NA
"125","Black-headed Grosbeak",0.786643981933594,"SMM07","2023-06-04",46,0,NA
"126","Black-headed Grosbeak",0.507579445838928,"SMM07","2023-06-04",57,0,NA
"127","Black-headed Grosbeak",0.378657609224319,"SMM07","2023-06-05",39,57,NA
"128","Black-headed Grosbeak",0.408001780509949,"SMM07","2023-06-07",2,12,NA
"129","Black-headed Grosbeak",0.665662825107574,"SMM07","2023-06-07",3,39,NA
"130","Black-headed Grosbeak",0.351191014051437,"SMM07","2023-06-11",1,27,NA
"131","Black-headed Grosbeak",0.516691863536835,"SMM07","2023-06-11",3,12,NA
"132","Black-headed Grosbeak",0.499489605426788,"SMM07","2023-06-12",0,9,NA
"133","Black-headed Grosbeak",0.625760793685913,"SMM07","2023-06-12",0,42,NA
"134","Black-headed Grosbeak",0.7898890376091,"SMM07","2023-06-13",0,18,NA
"135","Black-headed Grosbeak",0.746393859386444,"SMM07","2023-06-14",32,57,NA
"136","Black-headed Grosbeak",0.316426813602448,"SMM07","2023-06-15",11,33,NA
"137","Black-headed Grosbeak",0.442676484584808,"SMM07","2023-06-15",14,39,NA
"138","Black-headed Grosbeak",0.391728430986404,"SMM07","2023-06-18",0,45,NA
"139","Black-headed Grosbeak",0.6092928647995,"SMM07","2023-06-18",9,12,NA
"140","Black-headed Grosbeak",0.325848817825317,"SMM07","2023-06-20",6,0,NA
"141","Black-headed Grosbeak",0.619818150997162,"SMM07","2023-06-20",12,18,NA
"142","Black-headed Grosbeak",0.41154208779335,"SMM07","2023-06-20",25,36,NA
"143","Black-headed Grosbeak",0.417128592729568,"SMM07","2023-06-21",7,12,NA
"144","Black-headed Grosbeak",0.45384755730629,"SMM07","2023-06-21",7,30,NA
"145","Black-headed Grosbeak",0.807754874229431,"SMM07","2023-06-23",9,21,NA
"146","Black-headed Grosbeak",0.341251611709595,"SMM07","2023-06-23",10,3,NA
"147","Black-headed Grosbeak",0.404695361852646,"SMM07","2023-06-23",11,30,NA
"148","Black-headed Grosbeak",0.40042981505394,"SMM07","2023-06-23",12,9,NA
"149","Black-headed Grosbeak",0.369264870882034,"SMM08","2023-06-02",27,54,NA
"150","Black-headed Grosbeak",0.490944415330887,"SMM08","2023-06-03",17,3,NA
"151","Black-headed Grosbeak",0.426843553781509,"SMM08","2023-06-05",7,30,NA
"152","Black-headed Grosbeak",0.518390715122223,"SMM08","2023-06-05",33,42,NA
"153","Black-headed Grosbeak",0.694265425205231,"SMM08","2023-06-05",34,51,NA
"154","Black-headed Grosbeak",0.675455689430237,"SMM08","2023-06-05",35,12,NA
"155","Black-headed Grosbeak",0.434058964252472,"SMM08","2023-06-06",7,54,NA
"156","Black-headed Grosbeak",0.584829211235046,"SMM08","2023-06-10",52,30,NA
"157","Black-headed Grosbeak",0.882283926010132,"SMM08","2023-06-10",55,0,NA
"158","Black-headed Grosbeak",0.545084953308105,"SMM08","2023-06-11",0,15,NA
"159","Black-headed Grosbeak",0.340377032756805,"SMM08","2023-06-11",3,27,NA
"160","Black-headed Grosbeak",0.907799363136292,"SMM08","2023-06-11",18,27,NA
"161","Black-headed Grosbeak",0.923069775104523,"SMM08","2023-06-11",18,30,NA
"162","Black-headed Grosbeak",0.444340914487839,"SMM08","2023-06-13",1,51,NA
"163","Black-headed Grosbeak",0.353759825229645,"SMM08","2023-06-13",2,0,NA
"164","Black-headed Grosbeak",0.373396098613739,"SMM08","2023-06-13",2,30,NA
"165","Black-headed Grosbeak",0.661738276481628,"SMM08","2023-06-13",8,45,NA
"166","Black-headed Grosbeak",0.652756810188293,"SMM08","2023-06-14",0,42,NA
"167","Black-headed Grosbeak",0.5718994140625,"SMM08","2023-06-14",1,21,NA
"168","Black-headed Grosbeak",0.468317985534668,"SMM08","2023-06-17",8,3,NA
"169","Black-headed Grosbeak",0.441092044115067,"SMM08","2023-06-17",11,51,NA
"170","Black-headed Grosbeak",0.341525226831436,"SMM08","2023-06-18",2,48,NA
"171","Black-headed Grosbeak",0.420305222272873,"SMM08","2023-06-18",4,48,NA
"172","Black-headed Grosbeak",0.385157555341721,"SMM08","2023-06-18",10,9,NA
"173","Black-headed Grosbeak",0.674138903617859,"SMM08","2023-06-18",12,30,NA
"174","Black-headed Grosbeak",0.322390764951706,"SMM08","2023-06-18",14,21,NA
"175","Black-headed Grosbeak",0.534075260162354,"SMM08","2023-06-19",13,21,NA
"176","Black-headed Grosbeak",0.534893453121185,"SMM08","2023-06-20",5,18,NA
"177","Black-headed Grosbeak",0.308060139417648,"SMM08","2023-06-20",6,12,NA
"178","Black-headed Grosbeak",0.640087902545929,"SMM08","2023-06-20",8,33,NA
"179","Black-headed Grosbeak",0.598197102546692,"SMM08","2023-06-20",8,51,NA
"180","Black-headed Grosbeak",0.505697965621948,"SMM08","2023-06-20",10,18,NA
"181","Black-headed Grosbeak",0.611187398433685,"SMM08","2023-06-20",13,54,NA
"182","Black-headed Grosbeak",0.658378124237061,"SMM08","2023-06-20",27,15,NA
"183","Black-headed Grosbeak",0.487435907125473,"SMM08","2023-06-21",2,21,NA
"184","Black-headed Grosbeak",0.415091335773468,"SMM08","2023-06-21",2,36,NA
"185","Black-headed Grosbeak",0.714076280593872,"SMM08","2023-06-21",6,24,NA
"186","Black-headed Grosbeak",0.646213531494141,"SMM08","2023-06-23",11,3,NA
"187","Black-headed Grosbeak",0.613212823867798,"SMM08","2023-06-25",1,51,NA
"188","Black-headed Grosbeak",0.488620758056641,"SMM11","2023-06-08",24,54,NA
"189","Black-headed Grosbeak",0.35043928027153,"SMM14","2023-06-07",51,48,NA
"190","Black-headed Grosbeak",0.375022262334824,"SMM14","2023-06-07",56,39,NA
"191","Black-headed Grosbeak",0.969261765480042,"SMM16","2023-06-09",52,27,NA
