"","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File"
"126","66999","UF3-2",2024-05-28,7,0,12,"Hooded Warbler",0.195760890841484,"20240528_070000-216848300.flac"
"127","66999","UF3-2",2024-05-28,7,0,39,"Hooded Warbler",0.160773947834969,"20240528_070000-216848300.flac"
"128","66999","UF3-2",2024-06-01,6,0,0,"Hooded Warbler",0.162414312362671,"20240601_060000-216848244.flac"
"129","66999","UF3-2",2024-06-01,6,0,9,"Hooded Warbler",0.182539597153664,"20240601_060000-216848244.flac"
"130","66999","UF3-2",2024-06-02,6,0,51,"Hooded Warbler",0.217699483036995,"20240602_060000-216848233.flac"
"131","66999","UF3-2",2024-06-02,8,0,3,"Hooded Warbler",0.198200389742851,"20240602_080000-216848321.flac"
"132","66999","UF3-2",2024-06-02,8,0,36,"Hooded Warbler",0.235616102814674,"20240602_080000-216848321.flac"
"133","66999","UF3-2",2024-06-03,7,0,0,"Hooded Warbler",0.164621859788895,"20240603_070000-216848199.flac"
"134","66999","UF3-2",2024-06-03,7,0,3,"Hooded Warbler",0.202950283885002,"20240603_070000-216848199.flac"
"135","66999","UF3-2",2024-06-03,7,0,6,"Hooded Warbler",0.179838925600052,"20240603_070000-216848199.flac"
"136","66999","UF3-2",2024-06-06,6,0,9,"Hooded Warbler",0.150443539023399,"20240606_060000-216848295.flac"
"137","66999","UF3-2",2024-06-06,6,0,18,"Hooded Warbler",0.172419652342796,"20240606_060000-216848295.flac"
"138","66999","UF3-2",2024-06-06,6,0,36,"Hooded Warbler",0.191753387451172,"20240606_060000-216848295.flac"
"139","66999","UF3-2",2024-06-06,6,0,48,"Hooded Warbler",0.16412341594696,"20240606_060000-216848295.flac"
"140","66999","UF3-2",2024-06-06,7,0,6,"Hooded Warbler",0.174824327230453,"20240606_070000-216848232.flac"
"141","66999","UF3-2",2024-06-06,7,0,39,"Hooded Warbler",0.153194159269333,"20240606_070000-216848232.flac"
"142","66999","UF3-2",2024-06-06,8,0,12,"Hooded Warbler",0.197099402546883,"20240606_080000-216848319.flac"
"143","66999","UF3-2",2024-06-06,8,0,24,"Hooded Warbler",0.177004486322403,"20240606_080000-216848319.flac"
"144","66999","UF3-2",2024-06-06,8,0,27,"Hooded Warbler",0.156042709946632,"20240606_080000-216848319.flac"
"145","66999","UF3-2",2024-06-06,8,0,30,"Hooded Warbler",0.162169560790062,"20240606_080000-216848319.flac"
"146","66999","UF3-2",2024-06-06,8,0,54,"Hooded Warbler",0.161329120397568,"20240606_080000-216848319.flac"
"147","66999","UF3-2",2024-06-07,8,0,6,"Hooded Warbler",0.20237110555172,"20240607_080000-216848313.flac"
"148","66999","UF3-2",2024-06-07,8,0,12,"Hooded Warbler",0.21381288766861,"20240607_080000-216848313.flac"
"149","66999","UF3-2",2024-06-07,8,0,18,"Hooded Warbler",0.155283659696579,"20240607_080000-216848313.flac"
"150","66999","UF3-2",2024-06-07,8,0,36,"Hooded Warbler",0.174476191401482,"20240607_080000-216848313.flac"
"151","66999","UF3-2",2024-06-07,8,0,45,"Hooded Warbler",0.15966434776783,"20240607_080000-216848313.flac"
"152","66999","UF3-2",2024-06-08,6,0,18,"Hooded Warbler",0.161946535110474,"20240608_060000-216848190.flac"
"153","66999","UF3-2",2024-06-08,7,0,3,"Hooded Warbler",0.21687987446785,"20240608_070000-216848245.flac"
"154","66999","UF3-2",2024-06-08,7,0,12,"Hooded Warbler",0.181443139910698,"20240608_070000-216848245.flac"
"155","66999","UF3-2",2024-06-09,8,0,12,"Hooded Warbler",0.160475954413414,"20240609_080000-216848274.flac"
"156","66999","UF3-2",2024-06-09,8,0,15,"Hooded Warbler",0.171188578009605,"20240609_080000-216848274.flac"
"157","66999","UF3-2",2024-06-09,8,0,36,"Hooded Warbler",0.151207432150841,"20240609_080000-216848274.flac"
"158","66999","UF3-2",2024-06-13,6,0,51,"Hooded Warbler",0.151900589466095,"20240613_060000-216848280.flac"
"159","66999","UF3-2",2024-06-13,8,0,39,"Hooded Warbler",0.169660955667496,"20240613_080000-216848293.flac"
"160","67000","UF3-9",2024-05-17,7,0,48,"Hooded Warbler",0.2047438621521,"20240517_070000-216849821.flac"
"161","67000","UF3-9",2024-05-17,7,2,6,"Hooded Warbler",0.170099854469299,"20240517_070200-216849823.flac"
"162","67000","UF3-9",2024-05-19,6,1,33,"Hooded Warbler",0.189135327935219,"20240519_060100-216849817.flac"
"163","67000","UF3-9",2024-05-19,7,0,6,"Hooded Warbler",0.218890219926834,"20240519_070000-216849858.flac"
"164","67000","UF3-9",2024-05-20,6,1,3,"Hooded Warbler",0.17768295109272,"20240520_060100-216849782.flac"
"165","67000","UF3-9",2024-05-20,7,0,6,"Hooded Warbler",0.154903665184975,"20240520_070000-216849791.flac"
"166","67000","UF3-9",2024-05-20,7,2,42,"Hooded Warbler",0.150777220726013,"20240520_070200-216849793.flac"
"167","67000","UF3-9",2024-05-20,7,2,51,"Hooded Warbler",0.160972118377686,"20240520_070200-216849793.flac"
"168","67000","UF3-9",2024-05-20,7,3,54,"Hooded Warbler",0.200597867369652,"20240520_070300-216849794.flac"
"169","67000","UF3-9",2024-05-20,7,3,57,"Hooded Warbler",0.159851729869843,"20240520_070300-216849794.flac"
"170","67000","UF3-9",2024-05-20,7,4,18,"Hooded Warbler",0.181784868240356,"20240520_070400-216849795.flac"
"171","67000","UF3-9",2024-05-20,8,0,9,"Hooded Warbler",0.154924899339676,"20240520_080000-216849746.flac"
"172","67000","UF3-9",2024-05-20,8,2,57,"Hooded Warbler",0.174830451607704,"20240520_080200-216849748.flac"
"173","67000","UF3-9",2024-05-21,6,1,54,"Hooded Warbler",0.176820784807205,"20240521_060100-216849641.flac"
"174","67000","UF3-9",2024-05-21,6,2,51,"Hooded Warbler",0.159069716930389,"20240521_060200-216849642.flac"
