"","start.min","start.sec","common_name","confidence","ARU.ID","ARU.Name","Date"
"92",0,54,"Wood Thrush",0.0620431862771511,"66998","UF3-1",2024-05-17
"93",0,54,"Kentucky Warbler",0.058681134134531,"66998","UF3-1",2024-05-17
"94",0,57,"Kentucky Warbler",0.27520614862442,"66998","UF3-1",2024-05-17
"95",0,57,"Worm-eating Warbler",0.246886819601059,"66998","UF3-1",2024-05-17
"96",0,57,"Prothonotary Warbler",0.110345095396042,"66998","UF3-1",2024-05-17
"97",0,57,"Yellow-throated Warbler",0.0845093950629234,"66998","UF3-1",2024-05-17
"98",0,57,"Swainson's Warbler",0.0630523636937141,"66998","UF3-1",2024-05-17
"99",0,57,"Scarlet Tanager",0.0557641051709652,"66998","UF3-1",2024-05-17
"100",0,0,"Worm-eating Warbler",0.112350963056087,"66998","UF3-1",2024-05-17
"101",0,0,"Prothonotary Warbler",0.10526992380619,"66998","UF3-1",2024-05-17
"102",0,0,"Kentucky Warbler",0.0698922127485275,"66998","UF3-1",2024-05-17
"103",0,0,"Swainson's Warbler",0.0626812353730202,"66998","UF3-1",2024-05-17
"104",0,0,"Yellow-throated Warbler",0.0575760453939438,"66998","UF3-1",2024-05-17
"105",0,0,"Acadian Flycatcher",0.0567358992993832,"66998","UF3-1",2024-05-17
"106",0,3,"Kentucky Warbler",0.0505470931529999,"66998","UF3-1",2024-05-17
"107",0,6,"American Crow",0.120579645037651,"66998","UF3-1",2024-05-17
"108",0,12,"Kentucky Warbler",0.0667288228869438,"66998","UF3-1",2024-05-17
"109",0,18,"Ovenbird",0.100898452103138,"66998","UF3-1",2024-05-17
"110",0,18,"Worm-eating Warbler",0.0670517086982727,"66998","UF3-1",2024-05-17
"111",0,18,"Kentucky Warbler",0.0579716935753822,"66998","UF3-1",2024-05-17
"112",0,18,"Barred Owl",0.0571387708187103,"66998","UF3-1",2024-05-17
"113",0,21,"Wood Thrush",0.0532469116151333,"66998","UF3-1",2024-05-17
"114",0,24,"Tufted Titmouse",0.123805716633797,"66998","UF3-1",2024-05-17
"115",0,24,"Worm-eating Warbler",0.0715595930814743,"66998","UF3-1",2024-05-17
"116",0,24,"Kentucky Warbler",0.0601104721426964,"66998","UF3-1",2024-05-17
"117",0,27,"Kentucky Warbler",0.113242149353027,"66998","UF3-1",2024-05-17
"118",0,27,"Wood Thrush",0.085490494966507,"66998","UF3-1",2024-05-17
"119",0,27,"Worm-eating Warbler",0.0600582025945187,"66998","UF3-1",2024-05-17
"120",0,30,"Tufted Titmouse",0.148731604218483,"66998","UF3-1",2024-05-17
"121",0,30,"Kentucky Warbler",0.0803023427724838,"66998","UF3-1",2024-05-17
"122",0,30,"Worm-eating Warbler",0.0775689408183098,"66998","UF3-1",2024-05-17
"123",0,30,"Barred Owl",0.062895193696022,"66998","UF3-1",2024-05-17
"124",0,36,"Worm-eating Warbler",0.18366776406765,"66998","UF3-1",2024-05-17
"125",0,36,"Kentucky Warbler",0.178718194365501,"66998","UF3-1",2024-05-17
"126",0,36,"Prothonotary Warbler",0.120188757777214,"66998","UF3-1",2024-05-17
"127",0,36,"Acadian Flycatcher",0.0784064531326294,"66998","UF3-1",2024-05-17
"128",0,36,"Swainson's Warbler",0.0772021487355232,"66998","UF3-1",2024-05-17
"129",0,36,"Wood Thrush",0.0650496929883957,"66998","UF3-1",2024-05-17
"130",0,36,"Ovenbird",0.054869182407856,"66998","UF3-1",2024-05-17
