"","Hour","Minute","ARU.ID","ARU.Name","Date","File"
"183",6,2,"66998","UF3-1",2024-05-29,"20240529_060200-216848149.flac"
"184",6,3,"66998","UF3-1",2024-05-29,"20240529_060300-216848150.flac"
"185",6,4,"66998","UF3-1",2024-05-29,"20240529_060400-216848151.flac"
"186",7,0,"66998","UF3-1",2024-05-29,"20240529_070000-216848132.flac"
"187",7,1,"66998","UF3-1",2024-05-29,"20240529_070100-216848133.flac"
"188",7,2,"66998","UF3-1",2024-05-29,"20240529_070200-216848134.flac"
"189",7,3,"66998","UF3-1",2024-05-29,"20240529_070300-216848135.flac"
"190",7,4,"66998","UF3-1",2024-05-29,"20240529_070400-216848136.flac"
"191",8,0,"66998","UF3-1",2024-05-29,"20240529_080000-216847968.flac"
"192",8,1,"66998","UF3-1",2024-05-29,"20240529_080100-216847969.flac"
"193",8,2,"66998","UF3-1",2024-05-29,"20240529_080200-216847970.flac"
"194",8,3,"66998","UF3-1",2024-05-29,"20240529_080300-216847971.flac"
"195",8,4,"66998","UF3-1",2024-05-29,"20240529_080400-216847972.flac"
"196",6,0,"66998","UF3-1",2024-05-30,"20240530_060000-216847989.flac"
"197",6,1,"66998","UF3-1",2024-05-30,"20240530_060100-216847990.flac"
"198",6,2,"66998","UF3-1",2024-05-30,"20240530_060200-216847991.flac"
"199",6,3,"66998","UF3-1",2024-05-30,"20240530_060300-216847992.flac"
"200",6,4,"66998","UF3-1",2024-05-30,"20240530_060400-216847993.flac"
"201",7,0,"66998","UF3-1",2024-05-30,"20240530_070000-216847888.flac"
"202",7,1,"66998","UF3-1",2024-05-30,"20240530_070100-216847889.flac"
"203",7,2,"66998","UF3-1",2024-05-30,"20240530_070200-216847890.flac"
"204",7,3,"66998","UF3-1",2024-05-30,"20240530_070300-216847891.flac"
"205",7,4,"66998","UF3-1",2024-05-30,"20240530_070400-216847892.flac"
"206",8,0,"66998","UF3-1",2024-05-30,"20240530_080000-216847943.flac"
"207",8,1,"66998","UF3-1",2024-05-30,"20240530_080100-216847944.flac"
"208",8,2,"66998","UF3-1",2024-05-30,"20240530_080200-216847945.flac"
"209",8,3,"66998","UF3-1",2024-05-30,"20240530_080300-216847946.flac"
"210",8,4,"66998","UF3-1",2024-05-30,"20240530_080400-216847947.flac"
"211",6,0,"66998","UF3-1",2024-05-31,"20240531_060000-216847979.flac"
"212",6,1,"66998","UF3-1",2024-05-31,"20240531_060100-216847980.flac"
"213",6,2,"66998","UF3-1",2024-05-31,"20240531_060200-216847981.flac"
"214",6,3,"66998","UF3-1",2024-05-31,"20240531_060300-216847982.flac"
"215",6,4,"66998","UF3-1",2024-05-31,"20240531_060400-216847983.flac"
"216",7,0,"66998","UF3-1",2024-05-31,"20240531_070000-216848044.flac"
"217",7,1,"66998","UF3-1",2024-05-31,"20240531_070100-216848045.flac"
"218",7,2,"66998","UF3-1",2024-05-31,"20240531_070200-216848046.flac"
"219",7,3,"66998","UF3-1",2024-05-31,"20240531_070300-216848047.flac"
"220",7,4,"66998","UF3-1",2024-05-31,"20240531_070400-216848048.flac"
"221",8,0,"66998","UF3-1",2024-05-31,"20240531_080000-216848116.flac"
"222",8,1,"66998","UF3-1",2024-05-31,"20240531_080100-216848117.flac"
"223",8,2,"66998","UF3-1",2024-05-31,"20240531_080200-216848118.flac"
"224",8,3,"66998","UF3-1",2024-05-31,"20240531_080300-216848119.flac"
"225",8,4,"66998","UF3-1",2024-05-31,"20240531_080400-216848120.flac"
"226",6,0,"66998","UF3-1",2024-06-01,"20240601_060000-216848024.flac"
"227",6,1,"66998","UF3-1",2024-06-01,"20240601_060100-216848025.flac"
"228",6,2,"66998","UF3-1",2024-06-01,"20240601_060200-216848026.flac"
"229",6,3,"66998","UF3-1",2024-06-01,"20240601_060300-216848027.flac"
"230",6,4,"66998","UF3-1",2024-06-01,"20240601_060400-216848028.flac"
"231",7,0,"66998","UF3-1",2024-06-01,"20240601_070000-216847898.flac"
"232",7,1,"66998","UF3-1",2024-06-01,"20240601_070100-216847899.flac"
"233",7,2,"66998","UF3-1",2024-06-01,"20240601_070200-216847900.flac"
"234",7,3,"66998","UF3-1",2024-06-01,"20240601_070300-216847901.flac"
"235",7,4,"66998","UF3-1",2024-06-01,"20240601_070400-216847902.flac"
"236",8,0,"66998","UF3-1",2024-06-01,"20240601_080000-216847883.flac"
"237",8,1,"66998","UF3-1",2024-06-01,"20240601_080100-216847884.flac"
"238",8,2,"66998","UF3-1",2024-06-01,"20240601_080200-216847885.flac"
"239",8,3,"66998","UF3-1",2024-06-01,"20240601_080300-216847886.flac"
"240",8,4,"66998","UF3-1",2024-06-01,"20240601_080400-216847887.flac"
"241",6,0,"66998","UF3-1",2024-06-02,"20240602_060000-216847918.flac"
"242",6,1,"66998","UF3-1",2024-06-02,"20240602_060100-216847919.flac"
"243",6,2,"66998","UF3-1",2024-06-02,"20240602_060200-216847920.flac"
"244",6,3,"66998","UF3-1",2024-06-02,"20240602_060300-216847921.flac"
"245",6,4,"66998","UF3-1",2024-06-02,"20240602_060400-216847922.flac"
"246",7,0,"66998","UF3-1",2024-06-02,"20240602_070000-216847903.flac"
"247",7,1,"66998","UF3-1",2024-06-02,"20240602_070100-216847904.flac"
"248",7,2,"66998","UF3-1",2024-06-02,"20240602_070200-216847905.flac"
"249",7,3,"66998","UF3-1",2024-06-02,"20240602_070300-216847906.flac"
"250",7,4,"66998","UF3-1",2024-06-02,"20240602_070400-216847907.flac"
"251",8,0,"66998","UF3-1",2024-06-02,"20240602_080000-216848004.flac"
"252",8,1,"66998","UF3-1",2024-06-02,"20240602_080100-216848005.flac"
"253",8,2,"66998","UF3-1",2024-06-02,"20240602_080200-216848006.flac"
"254",8,3,"66998","UF3-1",2024-06-02,"20240602_080300-216848007.flac"
"255",8,4,"66998","UF3-1",2024-06-02,"20240602_080400-216848008.flac"
"256",6,0,"66998","UF3-1",2024-06-03,"20240603_060000-216847958.flac"
"257",6,1,"66998","UF3-1",2024-06-03,"20240603_060100-216847959.flac"
"258",6,2,"66998","UF3-1",2024-06-03,"20240603_060200-216847960.flac"
"259",6,3,"66998","UF3-1",2024-06-03,"20240603_060300-216847961.flac"
"260",6,4,"66998","UF3-1",2024-06-03,"20240603_060400-216847962.flac"
"261",7,0,"66998","UF3-1",2024-06-03,"20240603_070000-216847828.flac"
"262",7,1,"66998","UF3-1",2024-06-03,"20240603_070100-216847829.flac"
"263",7,2,"66998","UF3-1",2024-06-03,"20240603_070200-216847830.flac"
"264",7,3,"66998","UF3-1",2024-06-03,"20240603_070300-216847831.flac"
"265",7,4,"66998","UF3-1",2024-06-03,"20240603_070400-216847832.flac"
"266",8,0,"66998","UF3-1",2024-06-03,"20240603_080000-216847933.flac"
"267",8,1,"66998","UF3-1",2024-06-03,"20240603_080100-216847934.flac"
"268",8,2,"66998","UF3-1",2024-06-03,"20240603_080200-216847935.flac"
"269",8,3,"66998","UF3-1",2024-06-03,"20240603_080300-216847936.flac"
"270",8,4,"66998","UF3-1",2024-06-03,"20240603_080400-216847937.flac"
"271",6,0,"66998","UF3-1",2024-06-04,"20240604_060000-216847823.flac"
"272",6,1,"66998","UF3-1",2024-06-04,"20240604_060100-216847824.flac"
"273",6,2,"66998","UF3-1",2024-06-04,"20240604_060200-216847825.flac"
"274",6,3,"66998","UF3-1",2024-06-04,"20240604_060300-216847826.flac"
"275",6,4,"66998","UF3-1",2024-06-04,"20240604_060400-216847827.flac"
"276",7,0,"66998","UF3-1",2024-06-04,"20240604_070000-216847803.flac"
"277",7,1,"66998","UF3-1",2024-06-04,"20240604_070100-216847804.flac"
"278",7,2,"66998","UF3-1",2024-06-04,"20240604_070200-216847805.flac"
"279",7,3,"66998","UF3-1",2024-06-04,"20240604_070300-216847806.flac"
"280",7,4,"66998","UF3-1",2024-06-04,"20240604_070400-216847807.flac"
"281",8,0,"66998","UF3-1",2024-06-04,"20240604_080000-216847808.flac"
"282",8,1,"66998","UF3-1",2024-06-04,"20240604_080100-216847809.flac"
"283",8,2,"66998","UF3-1",2024-06-04,"20240604_080200-216847810.flac"
"284",8,3,"66998","UF3-1",2024-06-04,"20240604_080300-216847811.flac"
"285",8,4,"66998","UF3-1",2024-06-04,"20240604_080400-216847812.flac"
"286",6,0,"66998","UF3-1",2024-06-05,"20240605_060000-216847798.flac"
"287",6,0,"66998","UF3-1",2024-06-05,"20240605_060000-216847798.wav"
"288",6,1,"66998","UF3-1",2024-06-05,"20240605_060100-216847799.flac"
"289",6,2,"66998","UF3-1",2024-06-05,"20240605_060200-216847800.flac"
"290",6,3,"66998","UF3-1",2024-06-05,"20240605_060300-216847801.flac"
"291",6,4,"66998","UF3-1",2024-06-05,"20240605_060400-216847802.flac"
"292",7,0,"66998","UF3-1",2024-06-05,"20240605_070000-216847878.flac"
"293",7,1,"66998","UF3-1",2024-06-05,"20240605_070100-216847879.flac"
"294",7,1,"66998","UF3-1",2024-06-05,"20240605_070100-216847879.wav"
"295",7,2,"66998","UF3-1",2024-06-05,"20240605_070200-216847880.flac"
"296",7,3,"66998","UF3-1",2024-06-05,"20240605_070300-216847881.flac"
"297",7,4,"66998","UF3-1",2024-06-05,"20240605_070400-216847882.flac"
"298",8,0,"66998","UF3-1",2024-06-05,"20240605_080000-216847767.flac"
"299",8,1,"66998","UF3-1",2024-06-05,"20240605_080100-216847768.flac"
"300",8,2,"66998","UF3-1",2024-06-05,"20240605_080200-216847769.flac"
"301",8,3,"66998","UF3-1",2024-06-05,"20240605_080300-216847770.flac"
"302",8,4,"66998","UF3-1",2024-06-05,"20240605_080400-216847771.flac"
"303",6,0,"66998","UF3-1",2024-06-06,"20240606_060000-216847873.flac"
"304",6,1,"66998","UF3-1",2024-06-06,"20240606_060100-216847874.flac"
"305",6,2,"66998","UF3-1",2024-06-06,"20240606_060200-216847875.flac"
"306",6,3,"66998","UF3-1",2024-06-06,"20240606_060300-216847876.flac"
"307",6,4,"66998","UF3-1",2024-06-06,"20240606_060400-216847877.flac"
"308",7,0,"66998","UF3-1",2024-06-06,"20240606_070000-216847772.flac"
"309",7,1,"66998","UF3-1",2024-06-06,"20240606_070100-216847773.flac"
"310",7,2,"66998","UF3-1",2024-06-06,"20240606_070200-216847774.flac"
"311",7,3,"66998","UF3-1",2024-06-06,"20240606_070300-216847775.flac"
"312",7,4,"66998","UF3-1",2024-06-06,"20240606_070400-216847776.flac"
"313",8,0,"66998","UF3-1",2024-06-06,"20240606_080000-216847893.flac"
"314",8,1,"66998","UF3-1",2024-06-06,"20240606_080100-216847894.flac"
"315",8,2,"66998","UF3-1",2024-06-06,"20240606_080200-216847895.flac"
"316",8,3,"66998","UF3-1",2024-06-06,"20240606_080300-216847896.flac"
"317",8,4,"66998","UF3-1",2024-06-06,"20240606_080400-216847897.flac"
"318",6,0,"66998","UF3-1",2024-06-07,"20240607_060000-216847848.flac"
"319",6,1,"66998","UF3-1",2024-06-07,"20240607_060100-216847849.flac"
"320",6,2,"66998","UF3-1",2024-06-07,"20240607_060200-216847850.flac"
"321",6,3,"66998","UF3-1",2024-06-07,"20240607_060300-216847851.flac"
"322",6,3,"66998","UF3-1",2024-06-07,"20240607_060300-216847851.wav"
"323",6,4,"66998","UF3-1",2024-06-07,"20240607_060400-216847852.flac"
"324",7,0,"66998","UF3-1",2024-06-07,"20240607_070000-216847913.flac"
"325",7,1,"66998","UF3-1",2024-06-07,"20240607_070100-216847914.flac"
"326",7,2,"66998","UF3-1",2024-06-07,"20240607_070200-216847915.flac"
"327",7,3,"66998","UF3-1",2024-06-07,"20240607_070300-216847916.flac"
"328",7,4,"66998","UF3-1",2024-06-07,"20240607_070400-216847917.flac"
"329",8,0,"66998","UF3-1",2024-06-07,"20240607_080000-216847938.flac"
"330",8,0,"66998","UF3-1",2024-06-07,"20240607_080000-216847938.wav"
"331",8,1,"66998","UF3-1",2024-06-07,"20240607_080100-216847939.flac"
"332",8,2,"66998","UF3-1",2024-06-07,"20240607_080200-216847940.flac"
"333",8,3,"66998","UF3-1",2024-06-07,"20240607_080300-216847941.flac"
"334",8,4,"66998","UF3-1",2024-06-07,"20240607_080400-216847942.flac"
"335",6,0,"66998","UF3-1",2024-06-08,"20240608_060000-216847858.flac"
"336",6,1,"66998","UF3-1",2024-06-08,"20240608_060100-216847859.flac"
"337",6,2,"66998","UF3-1",2024-06-08,"20240608_060200-216847860.flac"
"338",6,3,"66998","UF3-1",2024-06-08,"20240608_060300-216847861.flac"
"339",6,4,"66998","UF3-1",2024-06-08,"20240608_060400-216847862.flac"
"340",7,0,"66998","UF3-1",2024-06-08,"20240608_070000-216847793.flac"
"341",7,1,"66998","UF3-1",2024-06-08,"20240608_070100-216847794.flac"
